Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Палій,Федір,Григорійович,male,1999-12-07,Архітектор,хутір Носівка,"парк Мельницька, буд. 1, Дубно, 36291",+380 (25) 783-61-74,panas51@example.com
Вергун,Петро,Леонідович,male,1972-07-10,Дизайнер,хутір Мостиська,"проспект Бернардацці, буд. 059 кв. 320, Нововолинськ, 75516",+380 23 064-69-52,sofiiazhuchenko@example.com
Величко,Єфрем,Іванович,male,1994-10-28,Копірайтер,хутір Вишгород,"сквер Тінистий, буд. 9 кв. 057, Городенка, 41323",001 903-08-59,halynadziuba@example.org
Андрійчук,Орина,Геннадіївна,female,1956-12-16,Менеджер з продажу,місто Рівне,"шосе Кострова, буд. 049 кв. 2, Кальміуське, 01477",850 49 78,oleksa39@example.net
Дейнека,Адам,Павлович,male,1946-01-14,Бухгалтер,селище Комарно,"сквер Ростовська, буд. 861, Гайсин, 39318",+380 (16) 347-70-37,hryhoriivasylashko@example.net
Ґерус,Олекса,Назарович,male,1962-12-26,Кадровий менеджер,село Могилів-Подільський,"сквер Манежна, буд. 42 кв. 10, Камінь-Каширський, 20955",681-54-64,ieva91@example.org
Байда,Сніжана,Денисівна,female,1997-11-12,Програміст,село Географія Вільнянська,"набережна Слобідська, буд. 20, Суми, 29482",+380 81 415-34-34,kanivetszorian@example.com
Ільченко,Варвара,Назарівна,female,1965-02-17,Програміст,місто Бровари,"сквер Цебриківська, буд. 9 кв. 1, Кіцмань, 78477",+380 77 416 53 23,chumachenkotereza@example.net
Усик,Юстим,Ярославович,male,1948-10-29,Менеджер з закупівель,селище Сорокине,"провулок Сирітський, буд. 4 кв. 30, Стебник, 30636",+380 96 883 41 14,zdrozdenko@example.org
Павленко,Оксенія,Геннадіївна,female,1995-04-12,Офіс-менеджер,хутір Кодима,"площа Желябова, буд. 2 кв. 150, Новомиргород, 06228",212-38-41,skadeniuk@example.com
Шухевич,Тетяна,Давидівна,female,1963-03-12,Програміст,хутір Мар'їнка,"сквер Хімічний 2-й, буд. 3 кв. 52, Тараща, 14266",+380 97 348-99-24,redkoanzhela@example.com
Колесниченко,Ярема,Борисович,male,1994-05-31,Офіс-менеджер,місто Авдіївка,"парк Юннатів 3-й, буд. 527, Первомайський , 70165",567 51 23,zlatoslavabandura@example.com
Охримович,Орина,Кирилівна,female,1948-12-24,Менеджер з маркетингу,селище Глиняни,"узвіз Щіпний, буд. 30, Новодружеськ, 44338",+380 (55) 915-90-82,parmenilchenko@example.com
Малишко,Ігнат,Леонідович,male,1948-02-05,Архітектор,хутір Кропивницький,"шосе Джерельна, буд. 168 кв. 97, Трускавець, 37472",943 24 47,zynoviiasaula@example.com
Івасюк,Михайлина,Назарівна,female,1979-03-27,HR-менеджер,місто Городок,"парк Шолохова, буд. 25, Часів Яр, 73563",137-61-97,ppylypenko@example.com
Негода,Едита,Станіславівна,female,1973-03-18,Аналітик даних,хутір Угнів,"проспект Акордна, буд. 768 кв. 63, Херсон, 88678",281 64 54,vvysochan@example.com
Атрощенко,Златослава,Вікторівна,female,2005-12-21,Офіс-менеджер,село Хмельницький,"сквер Кар’єрна, буд. 53 кв. 73, Глобине, 54335",686-67-92,khrystyna75@example.org
Атаманюк,Олесь,Геннадійович,male,1975-08-03,Аналітик даних,хутір Бережани,"узвіз Спаський, буд. 2 кв. 92, Нікополь, 98311",+380 91 613 56 55,paronets@example.net
Харченко,Аліна,Євгенівна,female,1990-07-20,Асистент керівника,селище Чортків,"шосе Балтський 7-й, буд. 206, Прип'ять , 62841",302-81-12,lizademianenko@example.com
Щербак,Богодар,Євгенович,male,2000-04-25,Менеджер з продажу,хутір Канів,"шосе Амурський 1-й, буд. 2 кв. 86, Старокостянтинів, 82300",+380 48 359-68-78,ihorbabenko@example.org
Чалий,Іван,Олександрович,male,1950-05-30,Менеджер з продукту,хутір Ржищів,"парк Керченський 1-й, буд. 96 кв. 9, Бахчисарай, 21867",088 011 01 05,demian23@example.org
Дутка,Герман,Григорійович,male,1965-02-11,Офіс-менеджер,хутір Жидачів,"шосе Колекційна, буд. 1 кв. 72, Ківерці, 27403",081 844 99 10,ukybkalo@example.net
Ґереґа,Тимофій,Володимирович,male,1953-07-12,Дизайнер,хутір Кам'янка-Дніпровська,"вулиця Гонтаренко, буд. 02, Червоноград, 05085",029 877-75-19,oleksandr66@example.org
Бездітко,Азар,Геннадійович,male,1963-04-21,Офіс-менеджер,місто Ніжин,"узвіз Лізи Чайкіної, буд. 022 кв. 2, Нікополь, 37688",006 686 75 36,dperebyinis@example.com
Ґереґа,Ярослава,Романівна,female,1946-04-27,Менеджер з закупівель,селище Рава-Руська,"набережна Дубовий гай, буд. 002 кв. 438, Молодогвардійськ, 07059",714 34 51,priska48@example.com
Пушкар,Орися,Остапівна,female,1960-08-04,Офіс-менеджер,селище Хоростків,"набережна Госпітальний, буд. 299, Умань, 22722",+380 03 290 83 26,chaikaamaliia@example.org
Савенко,Аліна,Іванівна,female,1967-08-14,Програміст,селище Куп'янськ,"площа Весняна, буд. 2 кв. 93, Узин, 35905",+380 18 509-15-92,mariana54@example.net
Рябченко,Герман,Данилович,male,1983-10-14,Кадровий менеджер,місто Бунге ,"проспект Приморський, буд. 098 кв. 677, Заводське, 75787",088 090-61-06,valentyna42@example.org
Штокало,Олесь,Зеновійович,male,1986-03-13,Бухгалтер,хутір Моспине,"сквер Нова, буд. 77, Татарбунари, 41533",056 731-69-07,jhavrysh@example.net
Рудько,Марина,Ігорівна,female,1963-02-11,PR-менеджер,село Красноград,"проспект Калинова, буд. 20, Інкерман, 09324",+380 50 521-33-93,demianenkoanita@example.net
Конопля,Лариса,Ярославівна,female,1968-10-26,Кадровий менеджер,місто Благовіщенське,"проспект Державіна, буд. 000 кв. 11, Ворожба, 91584",062 165-48-28,veibozhenko@example.org
Верховинець,Лесь,Костянтинович,male,1939-01-14,Аудитор,село Устилуг,"вулиця Обривиста, буд. 3 кв. 359, Благовіщенське, 54465",+380 42 467-76-40,leonieremenko@example.com
Козаченко,Григорій,Тарасович,male,1999-04-07,Офіс-менеджер,місто Олевськ,"шосе Березова, буд. 5 кв. 667, Лутугине, 47213",+380 (45) 531-72-66,boleslav33@example.com
Вітер,Лесь,Олексійович,male,1974-04-15,Бухгалтер,селище Новоселиця,"провулок Юннатів 1-й, буд. 656, Жмеринка, 17458",+380 (55) 159-47-51,mykhailomamchur@example.net
Притула,Єфрем,Леонідович,male,1974-02-28,Кадровий менеджер,хутір Коростень,"шосе Університетський, буд. 42 кв. 25, Євпаторія, 64021",+380 55 657-53-76,petrykpavlo@example.net
Приймак,Федір,Зеновійович,male,1995-10-02,Офіс-менеджер,селище Кропивницький,"площа 15-та Суворовська, буд. 388, Сулимівка (Слов'янськ), 78092",+380 76 345 56 32,nestor41@example.net
Харченко,Тарас,Сергійович,male,1978-09-28,Копірайтер,хутір Кам'янець-Подільський,"парк Стахановський 4-й, буд. 2, Вижниця, 62524",+380 66 437-44-95,peibozhenko@example.net
Вовк,Оксана,Геннадіївна,female,1970-01-23,Менеджер з продукту,хутір Кобеляки,"вулиця Павлова, буд. 8, Марганець , 98194",+380 (00) 439-26-67,chaikapylyp@example.com
Абраменко,Ярема,Борисович,male,1972-04-14,Офіс-менеджер,село Красноград,"сквер Щіпний, буд. 83 кв. 55, Путивль, 50801",+380 72 788 24 25,haidaiiosyp@example.net
Бакуменко,Хома,Леонідович,male,1974-02-19,Асистент керівника,хутір Сокиряни,"провулок Єфімова, буд. 1, Старокостянтинів, 29220",088 222 17 20,ieva47@example.net
Артюх,Любов,Ігорівна,female,1939-08-22,Програміст,хутір Докучаєвськ,"проспект Лавкова, буд. 1, Могилів-Подільський, 23126",528 72 61,leonid54@example.com
Вахній,Леон,Кирилович,male,1960-09-08,Бухгалтер,селище Гірник ,"проспект Лінія 24-та, буд. 47, Бахмут, 36043",658-32-18,jduplii@example.net
Кармалюк,Демʼян,Марківич,male,1943-10-20,Аналітик даних,хутір Ялта,"набережна Корнюшина, буд. 225, Золотоноша, 79399",007 916 62 82,geretaamvrosii@example.org
Скорик,Сергій,Остапович,male,1954-05-29,Тестувальник,село Вінниця,"проспект Шостої 1-й, буд. 424, Василівка , 85119",525 65 43,kaleksiuk@example.com
Валенко,Пантелеймон,Кирилович,male,2002-09-12,Фінансовий аналітик,місто Шахтарськ,"вулиця Парковий, буд. 2, Ватутіне, 75567",094 293 95 40,shelestanton@example.org
Бабко,Едита,Петрівна,female,1953-11-09,Офіс-менеджер,хутір Бахчисарай,"сквер Аркадійська, буд. 649 кв. 31, Подільськ, 69659",042 892 50 39,fedir99@example.net
Дробаха,Ярина,Іванівна,female,1983-12-16,Менеджер з продукту,селище Лиман ,"проспект Олександра Матросова, буд. 8 кв. 4, Селидове, 94445",+380 75 638-49-57,avhustynbaranyk@example.net
Гоголь,Орхип,Марківич,male,1970-02-22,Системний адміністратор,село Середина-Буда,"узвіз Олександра Стурдзи, буд. 4 кв. 8, Вижниця, 05124",071-25-56,omelianfranko@example.net
Приходько,Ірина,Григоріївна,female,1947-04-03,Офіс-менеджер,селище Лисичанськ,"вулиця Шефська, буд. 599 кв. 620, Городок, 27393",336 41 79,lizakarmaliuk@example.net
Яременко,Франц,Олексійович,male,1943-01-14,Асистент керівника,місто Дніпрорудне,"провулок Кутова, буд. 197 кв. 71, Горішні Плавні, 41250",+380 57 962 45 93,rmakarenko@example.com
Вишиваний,Олена,Марківна,female,1962-07-26,Тестувальник,хутір Моршин,"парк Магістральна, буд. 927 кв. 90, Узин, 26916",043 488 40 49,mamchursemen@example.com
Ємець,Світлана,Федорівна,female,1990-08-03,Менеджер з продажу,селище Гуляйполе,"провулок Олександра Стурдзи, буд. 0 кв. 905, Алмазна, 28912",+380 38 325-05-38,oshvachka@example.com
Баранник,Аліна,Захарівна,female,1958-09-01,Інженер з якості,місто Куп'янськ,"провулок Горбиста, буд. 301 кв. 826, Чоп, 48495",078 255 30 73,kvanchenko@example.org
Базилевич,Венедикт,Денисович,male,1944-10-31,Менеджер з продажу,місто Кодима,"набережна Осіння, буд. 024, Малин, 47777",+380 67 895-01-42,klyment97@example.org
Байдак,Данило,Захарович,male,1953-05-09,Менеджер з закупівель,селище Середина-Буда,"площа Озерна, буд. 5 кв. 524, Нікополь, 57197",+380 (79) 971-83-24,teodorvdovychenko@example.com
Гавриленко,Яків,Федорович,male,2008-03-16,Дизайнер,село Борислав,"сквер Картамишевська, буд. 9, Черкаси, 92429",050-87-15,iurchenkovitalii@example.org
Корбут,Ольга,Остапівна,female,1955-07-27,PR-менеджер,хутір Сарни,"шосе Яші Гордієнка, буд. 614, Кальміуське, 61741",+380 01 290-69-24,ushakhrai@example.com
Рудик,Віталій,Кирилович,male,1965-04-30,Програміст,хутір Феодосія,"набережна Суперфосфатна, буд. 820, Вуглегірськ, 76660",+380 15 337-73-19,petro42@example.org
Дзиндра,Соломія,Романівна,female,1970-06-28,Кадровий менеджер,хутір Перемишляни,"набережна Крайня, буд. 107, Рівне, 66299",+380 52 762-49-48,herman98@example.org
Данько,Дарина,Зеновіївна,female,1981-01-16,Дизайнер,місто Березань ,"шосе Лиманна, буд. 6 кв. 55, Мала Виска, 52508",+380 (02) 890-76-38,cdutka@example.org
Чорновіл,Панас,Мар'янович,male,2001-08-08,Кадровий менеджер,місто Коломия,"шосе Глазунова 2-й, буд. 31, Київ, 05145",+380 17 685-03-99,havrylenkoielysaveta@example.com
Сагаль,Остап,Зеновійович,male,1996-01-09,Менеджер з закупівель,село Рівне,"шосе Лядова, буд. 072, Ірміно, 31863",+380 (42) 011-81-77,eduard95@example.org
Піддубний,Пантелеймон,Тарасович,male,1939-11-06,Менеджер з маркетингу,хутір Корсунь-Шевченківський,"набережна Олександра Невського 5-й, буд. 2 кв. 8, Вільнянськ, 94413",564-17-06,petro32@example.org
Адаменко,Андрій,Кирилович,male,1964-04-04,Аудитор,селище Кіцмань,"парк Стороженка Олега, буд. 29 кв. 4, Гуляйполе, 59596",+380 (36) 083-27-11,feofan20@example.net
Тригуб,Орина,Григоріївна,female,1949-10-16,Аудитор,місто Голубівка,"набережна Леваневського, буд. 761 кв. 2, Судак , 89381",061 365-21-73,dbaida@example.org
Шамрай,Дмитро,Тимофійович,male,1976-04-28,Бухгалтер,село Бунге ,"вулиця Миколи Боровського, буд. 23 кв. 146, Знам'янка, 22509",054 192 24 59,mchekaliuk@example.com
Дробаха,Арсен,Вікторович,male,1982-01-07,Менеджер з продажу,місто Ворожба,"узвіз Прокатна, буд. 85 кв. 9, Сарни, 69615",+380 30 274-98-18,skorobohatkoihnat@example.com
Гук,Пармен,Вікторович,male,2004-03-04,Дизайнер,хутір Корець,"вулиця Траса Здоров'я, буд. 0 кв. 96, Виноградів, 23971",243-85-53,xpetryk@example.net
Зінкевич,Ярина,Денисівна,female,1940-12-22,Архітектор,хутір Чуднів,"проспект Левадна, буд. 618 кв. 6, Очаків, 92571",+380 94 808-00-04,khomykkostiantyn@example.net
Фоменко,Семен,Зеновійович,male,2000-09-17,PR-менеджер,селище Севастополь,"парк Шилова, буд. 81, Старокостянтинів, 55406",018 966 10 32,les00@example.org
Швайка,Орина,Сергіївна,female,1969-12-16,Кадровий менеджер,село Олександрівськ,"шосе 13-та Суворовська, буд. 4, Генічеськ, 30479",076 868-13-95,ckolesnychenko@example.net
Лукаш,Альбіна,Захарівна,female,1969-12-14,Програміст,село Вилкове,"провулок Уманська, буд. 71, Бучач, 46370",+380 (95) 109-99-74,marianakanivets@example.org
Вертипорох,Вікторія,Ігорівна,female,1943-06-26,Менеджер з закупівель,місто Виноградів,"набережна Біляївська, буд. 789 кв. 99, Сніжне, 47897",+380 (65) 969-27-01,larysabaida@example.net
Іваничук,Сергій,Олексійович,male,1985-01-18,Копірайтер,місто Богуслав,"узвіз Красносільська, буд. 260 кв. 993, Костопіль, 79975",+380 32 927-41-40,bzaporozhets@example.com
Червоненко,Розалія,Євгенівна,female,1971-12-01,Тестувальник,місто Волочиськ,"площа Шкільний, буд. 4, Фастів, 79037",060 201-58-34,devdiuksviatoslav@example.org
Тригуб,Емілія,Юріївна,female,2000-08-11,Офіс-менеджер,село Шумськ,"вулиця Обривиста, буд. 600 кв. 7, Білгород-Дністровський, 27285",018 136-92-14,xtkachenko@example.net
Архимович,Любов,Денисівна,female,1945-12-24,Офіс-менеджер,хутір Верхньодніпровськ,"вулиця 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 203, Івано-Франківськ, 94470",+380 (89) 213-72-58,kostiantynshvachko@example.org
Масляк,Сніжана,Максимівна,female,2003-05-21,Кадровий менеджер,селище Ворожба,"проспект Нечипуренка, буд. 10, Миргород, 15770",+380 95 042 63 38,yredko@example.com
Козак,Надія,Ярославівна,female,1945-08-03,HR-менеджер,селище Лиман ,"площа Приморський, буд. 0, Борислав, 53665",025 358-12-76,parmen96@example.net
Батуринець,Федір,Ярославович,male,1953-07-01,Інженер з якості,хутір Мукачево,"узвіз Залізнична, буд. 15, Пустомити, 01054",076 758 46 59,anastasiia09@example.org
Хомик,Богданна,Станіславівна,female,1966-08-07,Менеджер з маркетингу,село Ужгород,"парк Мелітопольська, буд. 1, Житомир, 41428",842-86-58,mazepaviacheslav@example.org
Овчаренко,Валерій,Зеновійович,male,1971-07-27,Інженер з якості,хутір Боково-Хрустальне,"проспект Лінія 30-та, буд. 75 кв. 568, Мала Виска, 97976",+380 77 153-94-04,petrykiefrem@example.net
Іваничук,Зорян,Васильович,male,1963-04-30,Аудитор,хутір Кам'янське,"набережна Східний, буд. 726, Підгородне, 91268",045 583 26 43,aaron47@example.net
Масоха,Мілена,Андріївна,female,1983-03-16,Системний адміністратор,селище Острог,"провулок Мигдальна, буд. 30 кв. 44, Бар, 95021",088 657 20 45,tarasdotsenko@example.com
Базавлученко,Марина,Ярославівна,female,1999-07-28,PR-менеджер,місто Березівка,"провулок Василя Кандинського 1-й, буд. 60 кв. 212, Жидачів, 78013",+380 28 138-29-70,onysymandriiovych@example.org
Корж,Макар,Іванович,male,1974-11-23,Архітектор,хутір Городок,"площа Самодіяльна, буд. 418, Верхньодніпровськ, 92836",270 79 39,rzaika@example.org
Скорик,Пантелеймон,Романович,male,1939-01-22,Архітектор,село Ланівці,"узвіз Банний, буд. 3 кв. 26, Шаргород, 65212",011 576-32-70,aleksandrenkodanna@example.net
Башполченко,Августин,Федорович,male,1994-10-07,Асистент керівника,хутір Чугуїв,"набережна Академіка Богатського, буд. 96 кв. 64, Сколе, 01518",108 91 73,vira12@example.org
Приймак,Артем,Марківич,male,1968-03-22,Архітектор,селище Вільногірськ,"сквер Фруктовий, буд. 2 кв. 6, Старий Крим, 06175",218-62-20,heorhii39@example.net
Чуйко,Онисим,Костянтинович,male,1962-05-22,Кадровий менеджер,хутір Фастів,"набережна Новиков міст, буд. 57, Токмак, 44992",+380 (00) 120-22-27,symonsymonenko@example.org
Тесленко,Михайлина,Мар'янівна,female,1961-02-20,Фінансовий аналітик,селище Ізюм,"шосе Надіїі, буд. 98, Болехів, 56986",086 74 90,markoieromenko@example.net
Верхола,Клавдія,Кирилівна,female,1967-05-12,Асистент керівника,селище Великі Мости,"парк Дальній, буд. 7 кв. 75, Самбір, 57843",+380 34 732 59 04,babiichukrostyslav@example.org
Андріїшин,Ігнат,Іванович,male,1963-05-03,Менеджер з продукту,селище Молочанськ,"вулиця Училищна, буд. 9, Полонне, 26038",401 58 65,venhrynovychstefan@example.org
Даниленко,Августин,Данилович,male,2002-02-01,Бухгалтер,село Хмільник,"парк Пісочний, буд. 4 кв. 57, Мостиська, 22855",+380 (67) 583-10-69,allavashchenko-zakharchenko@example.net
Бабенко,Євген,Сергійович,male,1944-08-13,Системний адміністратор,село Дубляни,"шосе Французький, буд. 211, Ходорів, 77745",009 819-54-72,vladyslav04@example.org
Ребрик,Михайло,Костянтинович,male,1940-03-27,Менеджер з продажу,місто Українськ,"провулок Скляний 1-й, буд. 898, Семенівка, 27507",+380 84 541-86-11,viktor27@example.org
Яремко,Панас,Вікторович,male,1977-07-26,Аналітик даних,село Південне ,"узвіз Дубова, буд. 3, Славута, 76922",+380 68 394-03-99,szatula@example.com
Гриценко,Олександр,Данилович,male,1969-07-03,Менеджер з маркетингу,місто Соледар,"шосе Ланжеронівський узвіз, буд. 783, Хирів, 20394",021-25-79,solomonbevz@example.org
Габелко,Ілля,Олегович,male,1996-06-14,Фінансовий аналітик,місто Збараж,"парк Деревообробний 5-й, буд. 9 кв. 25, Роздільна, 93992",+380 71 102 03 38,hupaloaaron@example.com
Тимчук,Миколай,Олександрович,male,1977-01-10,Програміст,село Ірпінь,"вулиця Трамвайний, буд. 4, Сміла, 24143",+380 32 777-30-48,chuz@example.com
Бабариченко,Данило,Данилович,male,1973-03-12,Тестувальник,селище Середина-Буда,"сквер Восьмого березня узвіз, буд. 3, Яготин, 05542",722-24-15,mykhailokabanenko@example.net
Салій,Камілла,Марківна,female,1966-11-06,Менеджер з маркетингу,місто Буринь,"парк Володі Дубініна, буд. 7 кв. 40, Сновськ, 60048",+380 46 567-66-15,avrelii60@example.org
Влох,Едуард,Ярославович,male,1938-01-07,Менеджер з продажу,село Арциз,"проспект Миколаївський 1-й, буд. 84 кв. 66, Докучаєвськ, 82234",094 176-66-83,varfolomii52@example.net
Масоха,Венедикт,Андрійович,male,1996-01-06,Бухгалтер,селище Ровеньки,"узвіз Пересипський 1-й, буд. 5, Новоград-Волинський, 63969",+380 27 958 17 82,komarkyrylo@example.com
Чубай,Ярослав,Геннадійович,male,1964-01-28,Бухгалтер,місто Володимир-Волинський,"сквер Мусіна, буд. 74, Вуглегірськ, 05436",074-90-26,zbaida@example.com
Токар,Тереза,Іванівна,female,1967-03-13,Кадровий менеджер,село Хрустальний,"площа Дубова, буд. 684 кв. 775, Вінниця, 23520",+380 53 708-56-23,skybadan@example.net
Гоголь-Яновський,Болеслав,Тарасович,male,1966-09-08,Бухгалтер,село Краматорськ,"площа Лузанівка, буд. 48 кв. 80, Сватове, 76120",576-35-66,frantskylymnyk@example.net
Калениченко,Лариса,Олегівна,female,1954-06-25,Асистент керівника,хутір Чугуїв,"вулиця Аеропортівський 2-й, буд. 105 кв. 124, Луганськ, 56636",125 20 55,viktoriia76@example.net
Швайка,Дан,Назарович,male,2007-05-21,Аналітик даних,місто Покров,"провулок Новомосковська дорога, буд. 4, Сватове, 92964",071 863-97-12,fartushniakleopold@example.org
Гайденко,Олександр,Мар'янович,male,1957-10-10,Менеджер з продажу,селище Судак ,"провулок Поперечний, буд. 722, Селидове, 74895",+380 (48) 366-61-05,dotsenkoviktoriia@example.com
Цюпа,Захар,Михайлович,male,2002-09-28,Дизайнер,селище Нововолинськ,"вулиця Бітумна, буд. 07, Ірміно, 26984",722-23-48,vasylyna52@example.net
Скирда,Дан,Борисович,male,1944-03-11,Бухгалтер,селище Білозерське,"парк Краснослобідський, буд. 75 кв. 6, Хорол , 01463",+380 78 264-30-67,scherinko@example.org
Прокопович,Алла,Петрівна,female,1974-01-23,Інженер з якості,селище Покровськ,"вулиця Ляпунова, буд. 181 кв. 311, Благовіщенське, 85591",141-59-06,panasdubyna@example.com
Гаврилюк,Ростислав,Леонідович,male,1940-10-06,Інженер з якості,селище Благовіщенське,"парк Петра Лещенка, буд. 51, Світловодськ, 76589",456 04 77,makohonsviatoslav@example.net
Величко,Леонід,Федорович,male,1957-11-29,Дизайнер,хутір Перемишляни,"шосе Джутовий, буд. 9, Хорол , 97869",+380 08 667 30 11,tandrusenko@example.net
Яценюк,Любов,Іванівна,female,1952-12-15,Системний адміністратор,селище Очаків,"провулок Карантинна, буд. 8 кв. 058, П'ятихатки, 44654",+380 79 169 19 39,tymofii64@example.org
Ірванець,Єва,Михайлівна,female,1977-04-24,Архітектор,селище Миколаївка ,"узвіз Ланжеронівський узвіз, буд. 1, Вознесенівка, 66767",+380 (85) 373-12-21,alukash@example.net
Дзиндра,Валентина,Олексіївна,female,1986-08-16,Менеджер з продукту,селище Бровари,"парк Одеська, буд. 93, Міусинськ, 54152",059 170-14-26,bohuslavzhalilo@example.net
Мірошниченко,Лариса,Михайлівна,female,1992-01-20,Тестувальник,село Ржищів,"провулок Лютневий 2-й, буд. 3 кв. 47, Балаклія, 14340",+380 06 401 80 24,solomon71@example.com
Гречко,Олекса,Андрійович,male,2003-09-04,Аналітик даних,село Жмеринка,"сквер Рівності, буд. 9 кв. 743, Хотин, 35871",822-56-46,vernydubdemian@example.org
Чередник,Костянтин,Денисович,male,1952-02-02,Кадровий менеджер,село Перевальськ,"парк Головна, буд. 0, Лиман , 31191",+380 11 393-11-74,okhrim03@example.org
Годунок,Орхип,Марківич,male,1963-11-27,HR-менеджер,хутір Краматорськ,"набережна Волоколамська, буд. 50, Глобине, 48207",073 047-69-84,myroslavbabarychenko@example.com
Верховинець,Еріка,Ігорівна,female,1953-08-27,Аналітик даних,село Трускавець,"провулок Парусна, буд. 0 кв. 36, Шумськ, 94826",+380 32 903-84-51,kharchenkohordii@example.net
Жаліло,Миколай,Олексійович,male,2007-03-26,Програміст,місто Костянтинівка,"набережна Керченський 3-й, буд. 09, Харцизьк, 96306",546 57 75,pbebeshko@example.net
Щербак,Франц,Федорович,male,1967-04-09,Аналітик даних,селище Торецьк,"вулиця Василя Кандинського, буд. 4 кв. 5, Житомир, 54612",373 80 58,sheremetheorhii@example.com
Наливайко,Лілія,Зеновіївна,female,1956-09-10,Аналітик даних,хутір Білозерське,"провулок Житкова, буд. 604, Березань , 31548",185 31 07,iosyp95@example.net
Данченко,Людмила,Сергіївна,female,1991-09-12,Системний адміністратор,село Христинівка,"парк Дачна, буд. 9, Борзна, 18830",+380 82 970 66 01,maksympiddubnyi@example.net
Корсун,Альберт,Олегович,male,1938-12-03,Програміст,місто Герца,"узвіз Радісний, буд. 98, Володимир-Волинський, 80708",+380 39 372-74-71,panteleimon68@example.com
Царенко,Аркадій,Сергійович,male,1997-02-21,Системний адміністратор,хутір Дебальцеве,"сквер Остапа Вишні, буд. 961, Хмельницький, 43074",+380 (11) 347-30-34,qholyk@example.com
Швачко,Омелян,Остапович,male,2006-01-01,Аналітик даних,село Зіньків,"площа Тираспольська, буд. 3, Долина , 60257",+380 81 296-52-54,cvasylenko@example.net
Примаченко,Омелян,Костянтинович,male,1975-11-12,Офіс-менеджер,селище Белз,"узвіз Восьмого березня 9-й, буд. 039 кв. 1, Олександрія, 81926",079 626-87-09,eakulenko@example.com
Копитко,Ігор,Остапович,male,1987-03-11,Офіс-менеджер,село Христинівка,"проспект Софіївська, буд. 3 кв. 273, Пирятин, 22498",+380 (78) 592-14-95,anastasiiababiichuk@example.com
Шеремета,Єва,Тимофіївна,female,1977-07-28,Офіс-менеджер,хутір Кам'янка (Черкаська область),"шосе Мацієвської узвіз, буд. 73, Харків, 62237",009 389-98-70,stefan41@example.org
Гузій,Лариса,Олександрівна,female,1953-02-16,Дизайнер,село Селидове,"площа Лінія 40-ва, буд. 276, Кривий Ріг, 27227",006 043 11 28,mskorobohatko@example.com
Корпанюк,Одарка,Романівна,female,1982-11-21,Архітектор,місто Марганець ,"парк Деревообробний 2-й, буд. 52, Тростянець, 11649",+380 57 522-35-14,aiemets@example.org
Токар,Василина,Денисівна,female,1942-09-05,Офіс-менеджер,хутір Покров,"узвіз Василя Кандинського 3-й, буд. 1, Сквира, 81052",016 913 03 38,zatulavitalii@example.com
Москаль,Богданна,Данилівна,female,1944-05-25,Менеджер з маркетингу,місто Прип'ять ,"вулиця Балтський 3-й, буд. 0 кв. 61, Заставна, 48973",054 399 41 86,nalyvaikoievhen@example.net
Артюх,Ілля,Петрович,male,1994-07-12,Архітектор,хутір Пологи ,"шосе Партизанської Слави, буд. 08 кв. 28, Мукачево, 44308",+380 34 524-87-14,taranmariia@example.com
Чайка,Климент,Володимирович,male,1950-07-28,Копірайтер,селище Дніпрорудне,"парк Кільцева, буд. 6, Соснівка , 08087",094 062-70-83,frantsvashchenko-zakharchenko@example.com
Сиротенко,Лілія,Назарівна,female,1992-04-16,Системний адміністратор,селище Герца,"шосе Байкальська, буд. 1 кв. 6, Коломия, 51557",+380 55 136-50-33,solomon33@example.net
Гайда,Ярослава,Геннадіївна,female,1973-05-14,Менеджер з закупівель,хутір Тиврів,"вулиця 12-та ст. Великого Фонтану пляж, буд. 92 кв. 3, Василівка , 76660",+380 54 269-31-01,ebezborodko@example.org
Демʼянчук,Ярина,Ярославівна,female,1998-07-13,Бухгалтер,хутір Гайворон,"парк Восьмого Березня Лінія 2-га, буд. 9, Вижниця, 33797",060 058 85 23,zakhar12@example.com
Вишняк,Анастасія,Володимирівна,female,1985-10-08,Копірайтер,село Кам'янське,"шосе Політкаторжан, буд. 054, Генічеськ, 83365",+380 94 870-62-36,volodymyrhavryliv@example.net
Гайденко,Валентин,Денисович,male,1959-02-15,Менеджер з продукту,хутір Біла Церква,"вулиця Нахімова, буд. 70, Золочів, 69040",970 24 82,abezditko@example.net
Акуленко,Олекса,Федорович,male,1961-11-28,Тестувальник,місто Армянськ,"шосе Митракова, буд. 001, Здолбунів, 53885",795 64 09,emiliia95@example.org
Дахно,Емілія,Тимофіївна,female,1944-10-24,Менеджер з закупівель,селище Новояворівськ,"набережна Слави, буд. 1, Хоростків, 06952",010 350-07-56,atamaniukdemyd@example.com
Артюх,Леонтій,Назарович,male,1999-04-18,Офіс-менеджер,село Ірміно,"сквер Долинська, буд. 44, Шахтарськ, 63503",+380 19 590-68-79,olenadanchenko@example.com
Венгринович,Святослава,Олегівна,female,1997-06-05,Менеджер з закупівель,місто Вижниця,"парк 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 865, Коломия, 27231",035 390 02 64,bbaran@example.com
